GEO,ID,year,month,value
E,S463438,2022,1,19115
E,S463438,2022,2,17228
E,S463438,2022,3,20754
E,S463438,2022,4,14929
E,S463438,2022,5,25142
E,S463438,2022,6,20219
E,S463438,2022,7,23098
E,S463438,2022,8,19393
E,S463438,2022,9,18470
E,S463438,2022,10,18782
E,S463438,2022,11,18266
E,S463438,2022,12,20738
E,S463438,2023,1,20678
E,S463438,2023,2,17534
E,S463438,2023,3,17341
E,S463438,2023,4,18969
E,S463438,2023,5,20481
E,S463438,2023,6,22131
E,S463438,2023,7,22402
E,S463438,2023,8,20524
E,S463438,2023,9,19500
E,S463438,2023,10,15828
E,S463438,2023,11,7614
E,S463438,2023,12,8215
E,S463438,2024,1,10018
E,S463438,2024,2,9622
E,S463438,2024,3,8906
E,S463438,2024,4,11777
E,S463438,2024,5,10249
E,S463438,2024,6,11441
E,S463438,2024,7,10941
E,S463438,2024,8,11721
E,S463438,2024,9,12344
E,S463438,2024,10,12983.05784
E,S463438,2024,11,12858.70457
E,S463438,2024,12,13168.71644
E,S463438,2025,1,12898.85446
E,S463438,2025,2,11843.73055
E,S463438,2025,3,10669.37239
E,S463438,2025,4,14864.28548
E,S463438,2025,5,13261.39953
E,S463438,2025,6,13333.15571
E,S463438,2025,7,13660.12615
E,S463438,2025,8,13667.97059
E,S463438,2025,9,13262.12335
E,S463438,2025,10,13994.45174
E,S463438,2025,11,13604.32494
E,S463438,2025,12,14188.61483
E,S340643,2022,1,22036
E,S340643,2022,2,20649
E,S340643,2022,3,23896
E,S340643,2022,4,15356
E,S340643,2022,5,24482
E,S340643,2022,6,21994
E,S340643,2022,7,22137
E,S340643,2022,8,21778
E,S340643,2022,9,20242
E,S340643,2022,10,19190
E,S340643,2022,11,20007
E,S340643,2022,12,20397
E,S340643,2023,1,19552
E,S340643,2023,2,17094
E,S340643,2023,3,17022
E,S340643,2023,4,15052
E,S340643,2023,5,17467
E,S340643,2023,6,17200
E,S340643,2023,7,16933
E,S340643,2023,8,15884
E,S340643,2023,9,16559
E,S340643,2023,10,13244
E,S340643,2023,11,7230
E,S340643,2023,12,7431
E,S340643,2024,1,8652
E,S340643,2024,2,9155
E,S340643,2024,3,8846
E,S340643,2024,4,10703
E,S340643,2024,5,10766
E,S340643,2024,6,10002
E,S340643,2024,7,11487
E,S340643,2024,8,12667
E,S340643,2024,9,12687
E,S340643,2024,10,13349.45508
E,S340643,2024,11,13155.34293
E,S340643,2024,12,13478.44343
E,S340643,2025,1,13257.27208
E,S340643,2025,2,12172.82967
E,S340643,2025,3,10965.83989
E,S340643,2025,4,15277.31609
E,S340643,2025,5,13629.89111
E,S340643,2025,6,13703.64116
E,S340643,2025,7,14039.69706
E,S340643,2025,8,14047.75946
E,S340643,2025,9,13630.63504
E,S340643,2025,10,14383.31248
E,S340643,2025,11,13982.34532
E,S340643,2025,12,14582.87073
E,S598131,2022,1,15987
E,S598131,2022,2,13705
E,S598131,2022,3,17581
E,S598131,2022,4,10502
E,S598131,2022,5,19017
E,S598131,2022,6,16938
E,S598131,2022,7,17387
E,S598131,2022,8,16946
E,S598131,2022,9,16727
E,S598131,2022,10,16727
E,S598131,2022,11,17119
E,S598131,2022,12,18384
E,S598131,2023,1,17413
E,S598131,2023,2,16165
E,S598131,2023,3,15605
E,S598131,2023,4,14878
E,S598131,2023,5,18192
E,S598131,2023,6,17689
E,S598131,2023,7,18196
E,S598131,2023,8,16311
E,S598131,2023,9,15938
E,S598131,2023,10,13071
E,S598131,2023,11,5568
E,S598131,2023,12,5616
E,S598131,2024,1,6607
E,S598131,2024,2,7245
E,S598131,2024,3,6403
E,S598131,2024,4,8606
E,S598131,2024,5,8847
E,S598131,2024,6,8115
E,S598131,2024,7,9344
E,S598131,2024,8,10260
E,S598131,2024,9,11909
E,S598131,2024,10,12538.22749
E,S598131,2024,11,12378.0252
E,S598131,2024,12,12699.21973
E,S598131,2025,1,12444.3015
E,S598131,2025,2,11426.35994
E,S598131,2025,3,10293.38592
E,S598131,2025,4,14340.47114
E,S598131,2025,5,12794.07056
E,S598131,2025,6,12863.29807
E,S598131,2025,7,13178.74614
E,S598131,2025,8,13186.31414
E,S598131,2025,9,12794.76887
E,S598131,2025,10,13501.29016
E,S598131,2025,11,13124.91136
E,S598131,2025,12,13688.61098
E,S371967,2022,1,9065
E,S371967,2022,2,8462
E,S371967,2022,3,11206
E,S371967,2022,4,6235
E,S371967,2022,5,10907
E,S371967,2022,6,11540
E,S371967,2022,7,11483
E,S371967,2022,8,12689
E,S371967,2022,9,13386
E,S371967,2022,10,13010
E,S371967,2022,11,12139
E,S371967,2022,12,13360
E,S371967,2023,1,12653
E,S371967,2023,2,11043
E,S371967,2023,3,11686
E,S371967,2023,4,10029
E,S371967,2023,5,12107
E,S371967,2023,6,13868
E,S371967,2023,7,14476
E,S371967,2023,8,14280
E,S371967,2023,9,14588
E,S371967,2023,10,12812
E,S371967,2023,11,7088
E,S371967,2023,12,7680
E,S371967,2024,1,8964
E,S371967,2024,2,9502
E,S371967,2024,3,8241
E,S371967,2024,4,10908
E,S371967,2024,5,11330
E,S371967,2024,6,9853
E,S371967,2024,7,11689
E,S371967,2024,8,12906
E,S371967,2024,9,15083
E,S371967,2024,10,15879.9299
E,S371967,2024,11,15677.03031
E,S371967,2024,12,16083.82996
E,S371967,2025,1,15760.97066
