Date,Amount LC,Scenario
2020-01-31,5,Scenario 2
2020-02-29,5,Scenario 2
2020-03-31,5,Scenario 2
2020-04-30,10,Scenario 2
2020-05-31,10,Scenario 2
2020-06-30,10,Scenario 2
2020-07-31,10,Scenario 2
2020-08-31,20,Scenario 2
2020-09-30,5,Scenario 2
2020-10-31,5,Scenario 2
2020-11-30,5,Scenario 2
2020-12-31,5,Scenario 2
2021-01-31,6,Scenario 2
2021-02-28,6,Scenario 2
2021-03-31,6,Scenario 2
2021-04-30,12,Scenario 2
2021-05-31,12,Scenario 2
2021-06-30,12,Scenario 2
2021-07-31,12,Scenario 2
2021-08-31,21,Scenario 2
2021-09-30,6,Scenario 2
2021-10-31,6,Scenario 2
2021-11-30,6,Scenario 2
2021-12-31,6,Scenario 2
2022-01-31,7,Scenario 2
2022-02-28,7,Scenario 2
2022-03-31,7,Scenario 2
2022-04-30,14,Scenario 2
2022-05-31,14,Scenario 2
2022-06-30,14,Scenario 2
2022-07-31,14,Scenario 2
2022-08-31,22,Scenario 2
2022-09-30,7,Scenario 2
2022-10-31,7,Scenario 2
2022-11-30,7,Scenario 2
2022-12-31,7,Scenario 2
2023-01-31,8,Scenario 2
2023-02-28,8,Scenario 2
2023-03-31,8,Scenario 2
2023-04-30,16,Scenario 2
2023-05-31,16,Scenario 2
2023-06-30,16,Scenario 2
2023-07-31,16,Scenario 2
2023-08-31,23,Scenario 2
2023-09-30,8,Scenario 2
2023-10-31,8,Scenario 2
2023-11-30,8,Scenario 2
2023-12-31,8,Scenario 2
2024-01-31,9,Scenario 2
2024-02-29,9,Scenario 2
2024-03-31,9,Scenario 2
2024-04-30,18,Scenario 2
2024-05-31,18,Scenario 2
2024-06-30,18,Scenario 2
2024-07-31,18,Scenario 2
2024-08-31,24,Scenario 2
2024-09-30,9,Scenario 2
2024-10-31,9,Scenario 2
2024-11-30,9,Scenario 2
2024-12-31,9,Scenario 2
