Date,Amount LC,Scenario
2020-01-31,5.120197944294606,Scenario 3
2020-02-29,5.380576557674201,Scenario 3
2020-03-31,6.00643027893417,Scenario 3
2020-04-30,6.580949440940817,Scenario 3
2020-05-31,7.143995230220273,Scenario 3
2020-06-30,7.69129627267121,Scenario 3
2020-07-31,8.33714952654212,Scenario 3
2020-08-31,8.437082685912223,Scenario 3
2020-09-30,9.22222485108857,Scenario 3
2020-10-31,9.757615024795008,Scenario 3
2020-11-30,10.840433136496607,Scenario 3
2020-12-31,10.782045326070538,Scenario 3
2021-01-31,10.480921131300011,Scenario 3
2021-02-28,10.975157382893649,Scenario 3
2021-03-31,12.196470960552693,Scenario 3
2021-04-30,12.279492830315046,Scenario 3
2021-05-31,12.823079635220076,Scenario 3
2021-06-30,14.566137789344209,Scenario 3
2021-07-31,13.566794369194954,Scenario 3
2021-08-31,14.789270394478963,Scenario 3
2021-09-30,15.335323031595175,Scenario 3
2021-10-31,15.673193136996547,Scenario 3
2021-11-30,15.649437425430335,Scenario 3
2021-12-31,16.974056429941598,Scenario 3
2022-01-31,17.270682696705197,Scenario 3
2022-02-28,17.301616715571914,Scenario 3
2022-03-31,18.515925603066833,Scenario 3
2022-04-30,18.26539361060826,Scenario 3
2022-05-31,18.913863222094207,Scenario 3
2022-06-30,19.850926051023553,Scenario 3
2022-07-31,19.997680965278462,Scenario 3
2022-08-31,19.76345460227092,Scenario 3
2022-09-30,21.366364372590912,Scenario 3
2022-10-31,21.4976150456549,Scenario 3
2022-11-30,21.098649293848226,Scenario 3
2022-12-31,22.550347215374476,Scenario 3
2023-01-31,23.217133975067014,Scenario 3
2023-02-28,23.059285776658772,Scenario 3
2023-03-31,23.726365875488213,Scenario 3
2023-04-30,24.586958231037084,Scenario 3
2023-05-31,24.78668428045264,Scenario 3
2023-06-30,25.80183181474518,Scenario 3
2023-07-31,26.412723535346963,Scenario 3
2023-08-31,26.990712138831984,Scenario 3
2023-09-30,25.93590354947515,Scenario 3
2023-10-31,27.52988938656144,Scenario 3
2023-11-30,28.628332754412376,Scenario 3
2023-12-31,28.905854482490042,Scenario 3
2024-01-31,28.68708502143197,Scenario 3
2024-02-29,29.694820516177607,Scenario 3
2024-03-31,30.310145103525574,Scenario 3
2024-04-30,29.849843213763045,Scenario 3
2024-05-31,30.535528650361925,Scenario 3
2024-06-30,31.346869133864075,Scenario 3
2024-07-31,31.996273545777132,Scenario 3
2024-08-31,32.31788682193033,Scenario 3
2024-09-30,32.67769166948777,Scenario 3
2024-10-31,33.806833144464775,Scenario 3
2024-11-30,33.50912362239713,Scenario 3
2024-12-31,34.76059779502966,Scenario 3
