Date,Amount LC,Scenario
2020-01-31,7.891194099885975,Scenario 4
2020-02-29,3.52278971595537,Scenario 4
2020-03-31,0.4494654227595136,Scenario 4
2020-04-30,10.080894471430007,Scenario 4
2020-05-31,3.154307810936838,Scenario 4
2020-06-30,5.5182517302085525,Scenario 4
2020-07-31,3.5095231961578692,Scenario 4
2020-08-31,4.310175347267058,Scenario 4
2020-09-30,4.646131589622284,Scenario 4
2020-10-31,11.644150034068641,Scenario 4
2020-11-30,4.221489934240483,Scenario 4
2020-12-31,3.8679369287200083,Scenario 4
2021-01-31,6.652012405961949,Scenario 4
2021-02-28,9.402996874439317,Scenario 4
2021-03-31,9.166650512129419,Scenario 4
2021-04-30,5.631186666599307,Scenario 4
2021-05-31,5.0427213378066185,Scenario 4
2021-06-30,4.383645681377987,Scenario 4
2021-07-31,9.551175335987415,Scenario 4
2021-08-31,1.8460296168687158,Scenario 4
2021-09-30,10.52329511176557,Scenario 4
2021-10-31,9.144328316949217,Scenario 4
2021-11-30,5.5008133773945715,Scenario 4
2021-12-31,2.464447492245812,Scenario 4
2022-01-31,9.614036000903836,Scenario 4
2022-02-28,5.35309972633747,Scenario 4
2022-03-31,9.916971935724112,Scenario 4
2022-04-30,7.888643423379689,Scenario 4
2022-05-31,11.665861316271574,Scenario 4
2022-06-30,8.200287905606249,Scenario 4
2022-07-31,7.474758378044419,Scenario 4
2022-08-31,7.552874338457254,Scenario 4
2022-09-30,7.212257949656658,Scenario 4
2022-10-31,10.28285265309266,Scenario 4
2022-11-30,5.764859710612856,Scenario 4
2022-12-31,10.153247898296272,Scenario 4
2023-01-31,12.762450626941177,Scenario 4
2023-02-28,12.159566805211309,Scenario 4
2023-03-31,9.770692763557403,Scenario 4
2023-04-30,7.508958015042154,Scenario 4
2023-05-31,11.268596106075382,Scenario 4
2023-06-30,7.000858068795876,Scenario 4
2023-07-31,7.654813643136734,Scenario 4
2023-08-31,10.372185117190412,Scenario 4
2023-09-30,9.42325833156999,Scenario 4
2023-10-31,8.89216574196291,Scenario 4
2023-11-30,12.436210985714492,Scenario 4
2023-12-31,7.882001112809352,Scenario 4
2024-01-31,13.77629526605591,Scenario 4
2024-02-29,11.796990490503388,Scenario 4
2024-03-31,12.439768004851686,Scenario 4
2024-04-30,14.808772941995835,Scenario 4
2024-05-31,7.757439478686893,Scenario 4
2024-06-30,7.754747523885975,Scenario 4
2024-07-31,12.111052636074776,Scenario 4
2024-08-31,14.267530704711406,Scenario 4
2024-09-30,8.18382806705598,Scenario 4
2024-10-31,14.413107625285928,Scenario 4
2024-11-30,10.479422191587238,Scenario 4
2024-12-31,12.122265277012897,Scenario 4
