Date,Amount LC,Scenario
2020-01-31,15,Scenario 6
2020-02-29,10,Scenario 6
2020-03-31,10,Scenario 6
2020-04-30,15,Scenario 6
2020-05-31,10,Scenario 6
2020-06-30,10,Scenario 6
2020-07-31,15,Scenario 6
2020-08-31,10,Scenario 6
2020-09-30,10,Scenario 6
2020-10-31,15,Scenario 6
2020-11-30,10,Scenario 6
2020-12-31,10,Scenario 6
2021-01-31,16,Scenario 6
2021-02-28,11,Scenario 6
2021-03-31,11,Scenario 6
2021-04-30,16,Scenario 6
2021-05-31,11,Scenario 6
2021-06-30,11,Scenario 6
2021-07-31,16,Scenario 6
2021-08-31,11,Scenario 6
2021-09-30,11,Scenario 6
2021-10-31,16,Scenario 6
2021-11-30,11,Scenario 6
2021-12-31,11,Scenario 6
2022-01-31,17,Scenario 6
2022-02-28,12,Scenario 6
2022-03-31,12,Scenario 6
2022-04-30,17,Scenario 6
2022-05-31,12,Scenario 6
2022-06-30,12,Scenario 6
2022-07-31,17,Scenario 6
2022-08-31,12,Scenario 6
2022-09-30,12,Scenario 6
2022-10-31,17,Scenario 6
2022-11-30,12,Scenario 6
2022-12-31,12,Scenario 6
2023-01-31,18,Scenario 6
2023-02-28,13,Scenario 6
2023-03-31,13,Scenario 6
2023-04-30,18,Scenario 6
2023-05-31,13,Scenario 6
2023-06-30,13,Scenario 6
2023-07-31,18,Scenario 6
2023-08-31,13,Scenario 6
2023-09-30,13,Scenario 6
2023-10-31,18,Scenario 6
2023-11-30,13,Scenario 6
2023-12-31,13,Scenario 6
2024-01-31,19,Scenario 6
2024-02-29,14,Scenario 6
2024-03-31,14,Scenario 6
2024-04-30,19,Scenario 6
2024-05-31,14,Scenario 6
2024-06-30,14,Scenario 6
2024-07-31,19,Scenario 6
2024-08-31,14,Scenario 6
2024-09-30,14,Scenario 6
2024-10-31,19,Scenario 6
2024-11-30,14,Scenario 6
2024-12-31,14,Scenario 6
