Date,Amount LC,Scenario
2020-01-31,5.0,Scenario 7
2020-02-29,5.1,Scenario 7
2020-03-31,5.202,Scenario 7
2020-04-30,5.306040000000001,Scenario 7
2020-05-31,5.4121608,Scenario 7
2020-06-30,5.5204040160000005,Scenario 7
2020-07-31,5.630812096320001,Scenario 7
2020-08-31,5.7434283382464,Scenario 7
2020-09-30,5.858296905011329,Scenario 7
2020-10-31,5.975462843111555,Scenario 7
2020-11-30,6.094972099973787,Scenario 7
2020-12-31,6.216871541973262,Scenario 7
2021-01-31,5.5,Scenario 7
2021-02-28,5.61,Scenario 7
2021-03-31,5.7222,Scenario 7
2021-04-30,5.836644000000001,Scenario 7
2021-05-31,5.9533768799999995,Scenario 7
2021-06-30,6.0724444176,Scenario 7
2021-07-31,6.193893305952001,Scenario 7
2021-08-31,6.3177711720710406,Scenario 7
2021-09-30,6.444126595512461,Scenario 7
2021-10-31,6.5730091274227105,Scenario 7
2021-11-30,6.704469309971166,Scenario 7
2021-12-31,6.838558696170589,Scenario 7
2022-01-31,6.050000000000001,Scenario 7
2022-02-28,6.171000000000001,Scenario 7
2022-03-31,6.294420000000001,Scenario 7
2022-04-30,6.4203084000000015,Scenario 7
2022-05-31,6.548714568,Scenario 7
2022-06-30,6.679688859360001,Scenario 7
2022-07-31,6.813282636547201,Scenario 7
2022-08-31,6.9495482892781455,Scenario 7
2022-09-30,7.088539255063709,Scenario 7
2022-10-31,7.230310040164983,Scenario 7
2022-11-30,7.3749162409682825,Scenario 7
2022-12-31,7.522414565787648,Scenario 7
2023-01-31,6.655000000000002,Scenario 7
2023-02-28,6.788100000000002,Scenario 7
2023-03-31,6.923862000000002,Scenario 7
2023-04-30,7.062339240000004,Scenario 7
2023-05-31,7.203586024800002,Scenario 7
2023-06-30,7.347657745296003,Scenario 7
2023-07-31,7.4946109002019226,Scenario 7
2023-08-31,7.644503118205961,Scenario 7
2023-09-30,7.797393180570081,Scenario 7
2023-10-31,7.9533410441814825,Scenario 7
2023-11-30,8.112407865065112,Scenario 7
2023-12-31,8.274656022366415,Scenario 7
2024-01-31,7.320500000000002,Scenario 7
2024-02-29,7.466910000000002,Scenario 7
2024-03-31,7.616248200000002,Scenario 7
2024-04-30,7.768573164000003,Scenario 7
2024-05-31,7.923944627280002,Scenario 7
2024-06-30,8.082423519825602,Scenario 7
2024-07-31,8.244071990222114,Scenario 7
2024-08-31,8.408953430026557,Scenario 7
2024-09-30,8.577132498627089,Scenario 7
2024-10-31,8.74867514859963,Scenario 7
2024-11-30,8.923648651571623,Scenario 7
2024-12-31,9.102121624603056,Scenario 7
