Date,Amount LC,Scenario
2020-01-31,5.0,Scenario 9
2020-02-29,5.7,Scenario 9
2020-03-31,6.4,Scenario 9
2020-04-30,7.1,Scenario 9
2020-05-31,7.8,Scenario 9
2020-06-30,8.5,Scenario 9
2020-07-31,9.2,Scenario 9
2020-08-31,9.899999999999999,Scenario 9
2020-09-30,10.6,Scenario 9
2020-10-31,11.3,Scenario 9
2020-11-30,12.0,Scenario 9
2020-12-31,15.7,Scenario 9
2021-01-31,13.399999999999999,Scenario 9
2021-02-28,14.1,Scenario 9
2021-03-31,14.799999999999999,Scenario 9
2021-04-30,15.5,Scenario 9
2021-05-31,16.2,Scenario 9
2021-06-30,16.9,Scenario 9
2021-07-31,17.6,Scenario 9
2021-08-31,18.299999999999997,Scenario 9
2021-09-30,19.0,Scenario 9
2021-10-31,19.7,Scenario 9
2021-11-30,20.4,Scenario 9
2021-12-31,24.099999999999998,Scenario 9
2022-01-31,21.799999999999997,Scenario 9
2022-02-28,22.5,Scenario 9
2022-03-31,23.2,Scenario 9
2022-04-30,23.9,Scenario 9
2022-05-31,24.599999999999998,Scenario 9
2022-06-30,25.299999999999997,Scenario 9
2022-07-31,26.0,Scenario 9
2022-08-31,26.7,Scenario 9
2022-09-30,27.4,Scenario 9
2022-10-31,28.099999999999998,Scenario 9
2022-11-30,28.799999999999997,Scenario 9
2022-12-31,32.5,Scenario 9
2023-01-31,30.2,Scenario 9
2023-02-28,30.9,Scenario 9
2023-03-31,31.599999999999998,Scenario 9
2023-04-30,32.3,Scenario 9
2023-05-31,33.0,Scenario 9
2023-06-30,33.7,Scenario 9
2023-07-31,34.4,Scenario 9
2023-08-31,35.099999999999994,Scenario 9
2023-09-30,35.8,Scenario 9
2023-10-31,36.5,Scenario 9
2023-11-30,37.199999999999996,Scenario 9
2023-12-31,40.9,Scenario 9
2024-01-31,38.599999999999994,Scenario 9
2024-02-29,39.3,Scenario 9
2024-03-31,40.0,Scenario 9
2024-04-30,40.699999999999996,Scenario 9
2024-05-31,41.4,Scenario 9
2024-06-30,42.099999999999994,Scenario 9
2024-07-31,42.8,Scenario 9
2024-08-31,43.5,Scenario 9
2024-09-30,44.199999999999996,Scenario 9
2024-10-31,44.9,Scenario 9
2024-11-30,45.599999999999994,Scenario 9
2024-12-31,49.3,Scenario 9
